deployId,longtitude,latitude,elevation
8,34.8026031292194,32.092657939767854,8.625581476691922,3,34.80363892979068,32.08947944572757,13.088638876666502
8,34.80268477712053,32.09244591381093,9.069106344179096
8,34.80284335451195,32.09216446451469,9.653319628156234
8,34.80302368390312,32.0918888466541,10.552204004015966
8,34.803118393228374,32.0917635667415,11.114368833081645
8,34.80323891405177,32.09158372114181,11.908142229190886
8,34.8033245560407,32.091446616211805,12.319150678032685
8,34.80337030879185,32.09126877279363,12.721283725460736
8,34.80306127187471,32.091109582430704,11.988996774601533
8,34.80289334953458,32.09102580589993,11.560296979307644
8,34.80269427455425,32.09089860277679,11.180477609927026
8,34.80257988957719,32.090798701849316,10.963087087479032
8,34.80269856564047,32.09072672969754,11.157239781307124
8,34.80280647911756,32.090635962012314,11.405875096933553
8,34.80285340287679,32.0905599755001,11.509245134388577
8,34.80297722831098,32.090455866664655,11.641662569335974
8,34.8032235790776,32.090407952854406,12.214903829670192
8,34.80338095729345,32.09033674221233,12.49639428162877
8,34.8035857836822,32.09024143846001,12.78817365772747
8,34.80372640129944,32.09013215966434,12.971475488911992
